"ID","Title","description","streetaddress","state","amenityfeatures","Type","city","unclearaddress","Year","uncleartype","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
92,"Diamond Lil's ","(D.L's)  (Some G)","3025 N. 24th St. ","AZ","(*),(S),(G)","Bars/Clubs","Phoenix",NA,1979,"","","4/20/2020 12:47am","7/27/2020 1:17pm","3025 N. 24th St. , Phoenix, AZ","-112.0297986","33.4833131","3025 n 24th st, phoenix, az 85016, usa","Geocoded"
95,"His Co. Disco","(2 bars-PT-Game room) (Disco) (Enter thru parking lot in rear)","3839 N. 16th St.","AZ","(*),(PT),(YC),(D)","Bars/Clubs","Phoenix",NA,1979,"","","4/20/2020 12:47am","7/27/2020 1:17pm","3839 N. 16th St., Phoenix, AZ","-112.0471713","33.49219","3839 n 16th st, phoenix, az 85016, usa","Geocoded"
97,"Miss Matty's Attic","(Disco)","3241 E. Shea","AZ","(M),(D)","Bars/Clubs","Phoenix",NA,1979,"","","4/20/2020 12:47am","7/27/2020 1:17pm","3241 E. Shea, Phoenix, AZ","-112.0115409","33.5819174","3241 e shea blvd, phoenix, az 85028, usa","Geocoded"
99,"Mr. Fatfingers","(WE*) (Mixed bag-Some OC-slow dancing)","5749 N. 7th St.","AZ","(WE),(*),(OC)","Bars/Clubs","Phoenix",NA,1979,"","","4/20/2020 12:47am","7/27/2020 1:17pm","5749 N. 7th St., Phoenix, AZ","-112.0646603","33.5217412","5749 n 7th st, phoenix, az 85014, usa","Geocoded"
103,"Ramrod","(Sun. beer bust)","395 N. Black Canyon Rd. ","AZ","(SM),(W),(PT)","Bars/Clubs","Phoenix",NA,1979,"","","4/20/2020 12:47am","7/27/2020 1:17pm","395 N. Black Canyon Rd. , Phoenix, AZ","-112.1077602","33.4524633","395 n black canyon hwy, phoenix, az 85009, usa","Geocoded"
104,"Sportsmen Lounge","(Disco) (C-AH-WE*) (Some G)","4622 N. 7th St.","AZ","(D),(PT),(C),(AH),(WE),(*),(G)","Bars/Clubs","Phoenix",NA,1979,"","","4/20/2020 12:47am","7/27/2020 1:17pm","4622 N. 7th St., Phoenix, AZ","-112.0653068","33.5044783","4622 n 7th st, phoenix, az 85014, usa","Geocoded"
106,"Talk of the Town","(Disco)","3701 N. 16th St. ","AZ","(D),(*),(G)","Bars/Clubs","Phoenix",NA,1979,"","","4/20/2020 12:47am","7/27/2020 1:17pm","3701 N. 16th St. , Phoenix, AZ","-112.0473122","33.4905365","3701 n 16th st, phoenix, az 85016, usa","Geocoded"
107,"Three-O-Seven Lounge","","222 E. Roosevelt N. 3rd St.","AZ","(OC),(PT)","Bars/Clubs","Phoenix",NA,1979,"","","4/20/2020 9:17pm","7/27/2020 1:17pm","222 E. Roosevelt N. 3rd St., Phoenix, AZ","-112.068901","33.4588546","330 e roosevelt st, phoenix, az 85004, usa","Geocoded"
127,"Congress","","311 E. Congress","AZ","(M),(OC),(RT)","Bars/Clubs","Tucson",NA,1979,"","","4/20/2020 9:17pm","7/27/2020 1:17pm","311 E. Congress, Tucson, AZ","-110.9668233","32.222337","311 e congress st, tucson, az 85701, usa","Geocoded"
131,"Front Runner","(Mixed bag-many G) (WE*)","2222 N. Stone","AZ","(S),(D),(G)","Bars/Clubs","Tucson",NA,1979,"","","4/20/2020 9:17pm","7/27/2020 1:17pm","2222 N. Stone, Tucson, AZ","-110.9716483","32.2487455","2222 n stone ave, tucson, az 85705, usa","Geocoded"
129,"Dale's Graduate","(Some W, SM, FFA, OC, YC, Latins-'tops' during cocktail hour) ","23 W. University Blvd.","AZ","(PT),(*),(W),(SM),(FFA),(OC),(YC)","Bars/Clubs","Tucson",NA,1979,"","","4/20/2020 9:17pm","7/27/2020 1:17pm","23 W. University Blvd., Tucson, AZ","-110.9724985","32.231604","23 w university blvd, tucson, az 85705, usa","Geocoded"
133,"Jekyll's ","Last Culture (Disco) ( Some G) ","1455 N. Miracle Mile","AZ","(*),(S),(D),(PT),(YC),(G)","Bars/Clubs","Tucson",NA,1979,"","","4/20/2020 9:17pm","7/27/2020 1:17pm","1455 N. Miracle Mile, Tucson, AZ","-110.9973286","32.2608521","1455 w miracle mile, tucson, az 85705, usa","Geocoded"
134,"Joshua Tree","(Disco) (Open Wed., Fri. & Sat. only* ) Back Pocket (PT) in rear is open 7 nights ","2921 N. 1st Ave","AZ","(YC),(D),(*)","Bars/Clubs","Tucson",NA,1979,"","","4/20/2020 9:17pm","7/27/2020 1:17pm","2921 N. 1st Ave, Tucson, AZ","-110.9614089","32.2607716","2921 n 1st ave, tucson, az 85719, usa","Geocoded"
